Row ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
158,01-03-2014,06-03-2014,Second Class,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,457.568,2,0.2,51.4764
159,20-11-2016,24-11-2016,Standard Class,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,14.62,2,0,6.8714
160,20-11-2016,24-11-2016,Standard Class,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,944.93,7,0,236.2325
161,11-05-2016,12-05-2016,First Class,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1,0,2.691
162,28-12-2015,31-12-2015,Second Class,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.384,2,0.2,1.3596
163,16-11-2016,20-11-2016,Standard Class,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,28.4,5,0,13.348
164,07-11-2016,11-11-2016,Standard Class,Max Jones,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,27.68,2,0.2,9.688
165,08-09-2014,12-09-2014,Standard Class,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,9.936,3,0.2,2.7324
166,08-09-2014,12-09-2014,Standard Class,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,8159.952,8,0.4,-1359.992
167,08-09-2014,12-09-2014,Standard Class,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347
168,08-09-2014,12-09-2014,Standard Class,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,1740.06,9,0.3,-24.858
169,08-09-2014,12-09-2014,Standard Class,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,32.064,6,0.2,6.8136
170,08-09-2014,12-09-2014,Standard Class,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,177.98,5,0.8,-453.849
171,08-09-2014,12-09-2014,Standard Class,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,143.976,3,0.2,8.9985
172,05-08-2014,09-08-2014,Standard Class,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,20.94,3,0,9.8418
173,05-08-2014,09-08-2014,Standard Class,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,110.96,2,0,53.2608
174,05-08-2014,09-08-2014,Standard Class,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,340.144,7,0.2,21.259
175,14-09-2014,19-09-2014,Standard Class,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,52.448,2,0.8,-131.12
176,14-09-2014,19-09-2014,Standard Class,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,20.16,4,0.2,6.552
177,21-04-2017,25-04-2017,Second Class,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,97.264,4,0.8,-243.16
178,21-11-2015,23-11-2015,Second Class,Joel Eaton,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs,396.802,7,0.3,-11.3372
